Player,Season,GM,KI,MK,HB,GL,BH,HO,TK,FF,FA,%P,FantasyAve
"Tohill, Anton",2021,1,4,3,5,0,0,0,0,1,1,89.0,29.0
"Merrett, Zach",2021,23,361,97,364,4,7,0,112,41,26,82.5,110.6
"Parish, Darcy",2021,23,341,96,360,10,8,0,90,13,10,82.2,106.2
"Hind, Nick",2021,22,365,114,127,4,2,0,45,19,19,83.7,84.5
"Heppell, Dyson",2021,19,276,132,194,2,1,0,47,15,12,86.0,94.3
"Ridley, Jordan",2021,22,340,131,124,0,0,0,29,16,13,91.3,79.7
"Redman, Mason",2021,22,245,101,142,6,2,0,44,11,17,79.4,68.0
"Langford, Kyle",2021,17,202,98,152,13,3,2,57,11,18,83.2,86.6
"Snelling, Will",2021,20,155,74,199,12,7,0,99,21,9,83.8,77.7
"McGrath, Andrew",2021,15,171,43,167,2,4,0,66,17,11,75.0,82.7
"Laverde, Jayden",2021,23,202,134,116,1,0,0,35,17,25,85.9,57.7
"Stringer, Jake",2021,19,210,55,102,41,18,0,76,30,23,80.3,80.4
"Smith, Devon",2021,20,155,68,128,16,19,0,78,11,23,80.3,64.7
"Cox, Nik",2021,22,152,81,107,9,9,12,47,16,23,72.6,51.0
"Wright, Peter",2021,21,146,90,100,29,14,208,37,31,23,80.9,67.3
"Perkins, Archie",2021,21,116,58,122,9,14,0,42,13,13,68.6,46.5
"Guelfi, Matt",2021,20,124,74,112,6,4,0,54,11,19,64.3,51.4
"Ham, Brayden",2021,19,118,57,109,5,10,0,30,5,9,64.6,46.4
"Stewart, James",2021,17,136,89,77,0,0,0,19,7,22,88.4,49.8
"Hooker, Cale",2021,18,106,65,100,33,24,10,27,12,18,84.7,56.2
"McDonald-Tipungwuti, Anthony",2021,20,129,49,72,34,14,0,56,16,18,80.0,54.1
"Cutler, Tom",2021,13,113,51,65,1,4,0,16,5,2,63.5,53.5
"Francis, Aaron",2021,15,99,70,70,2,6,1,17,15,12,82.8,47.5
"Shiel, Dylan",2021,8,74,16,81,3,4,0,24,3,8,73.1,66.1
"Waterman, Alec",2021,14,82,43,60,17,8,0,28,8,6,76.1,50.5
"Draper, Sam",2021,13,85,31,46,2,5,316,23,16,24,78.9,62.2
"Jones, Harry",2021,16,77,57,40,20,6,4,21,7,6,77.8,42.8
"Durham, Sam",2021,7,47,31,52,1,2,0,9,4,1,77.4,54.7
"Zaharakis, David",2021,9,51,21,30,2,2,0,16,0,4,48.9,38.0
"Phillips, Andrew",2021,6,32,24,30,4,1,123,23,8,8,75.7,75.3
"Clarke, Dylan",2021,4,25,17,36,2,0,0,9,4,5,81.5,58.8
"Gleeson, Martin",2021,6,33,21,27,0,0,0,11,2,2,55.8,42.7
"Zerk-Thatcher, Brandon",2021,6,36,22,24,0,0,1,11,3,6,82.0,42.0
"Caldwell, Jye",2021,3,27,8,19,0,1,0,16,6,0,62.0,71.3
"Cahill, Ned",2021,3,9,3,13,1,0,0,3,0,2,70.3,24.7
"Bryan, Nick",2021,1,5,3,7,0,0,18,3,1,1,61.0,66.0
"Reid, Zach",2021,1,5,1,5,0,0,0,5,3,0,86.0,51.0
"Ambrose, Patrick",2021,1,1,0,4,0,1,0,2,1,0,56.0,21.0
"Brayshaw, Andrew",2021,20,265,101,303,8,5,0,93,25,23,78.8,104.3
"Mundy, David",2021,22,248,68,305,15,7,0,87,18,21,76.2,89.0
"Serong, Caleb",2021,22,279,64,224,8,10,0,72,23,12,74.1,82.3
"Cerra, Adam",2021,18,250,93,165,5,10,0,47,21,12,76.1,87.3
"Aish, James",2021,22,236,92,178,1,8,0,49,13,13,82.9,69.3
"Ryan, Luke",2021,19,332,136,82,0,0,0,34,14,19,88.4,87.4
"Fyfe, Nat",2021,15,154,58,207,6,21,0,61,18,36,81.3,84.1
"Darcy, Sean",2021,21,156,90,193,12,12,599,64,22,38,81.0,93.9
"Acres, Blake",2021,18,184,67,138,2,0,10,45,12,18,78.8,66.1
"Wilson, Nathan",2021,18,233,74,71,0,4,0,18,12,13,82.5,61.8
"Colyer, Travis",2021,22,195,75,83,15,19,0,44,6,9,82.1,56.4
"Tucker, Darcy",2021,16,152,64,120,0,2,0,29,10,12,83.6,61.3
"Walters, Michael",2021,16,147,63,76,14,11,0,33,21,14,81.6,61.8
"Schultz, Lachie",2021,20,148,80,72,22,17,0,54,20,18,79.4,58.0
"Logue, Griffin",2021,16,113,76,71,0,0,0,22,13,12,91.4,48.4
"Taberner, Matthew",2021,16,135,89,42,37,17,0,10,16,17,88.1,62.5
"Lobb, Rory",2021,13,108,73,60,20,19,54,15,13,5,92.9,70.3
"Crowden, Mitch",2021,16,70,34,97,5,7,0,29,8,4,67.6,40.9
"Henry, Liam",2021,17,106,37,47,10,9,0,18,13,10,72.8,38.1
"Switkowski, Sam",2021,12,79,36,67,9,9,0,32,7,4,70.8,55.4
"Cox, Brennan",2021,12,87,56,55,0,0,1,11,4,12,90.4,46.0
"Hughes, Ethan",2021,8,75,29,64,0,1,0,12,6,5,79.9,60.0
"Conca, Reece",2021,10,68,35,67,0,0,0,18,5,10,72.2,49.0
"Young, Hayden",2021,8,85,45,42,0,0,0,19,7,3,79.1,68.5
"Watson, Tobe",2021,11,73,51,51,1,0,0,12,5,4,74.6,47.4
"Blakely, Connor",2021,13,50,30,66,1,2,0,11,8,5,35.9,32.1
"Treacy, Josh",2021,15,70,51,45,13,10,7,31,11,14,86.0,42.7
"Walker, Brandon",2021,10,72,36,32,0,3,0,17,1,4,73.1,44.8
"Pearce, Alex",2021,10,56,27,40,0,1,1,10,12,5,82.1,36.8
"Duman, Taylin",2021,6,49,28,42,0,0,0,12,1,3,75.8,59.2
"Chapman, Heath",2021,6,50,27,35,1,0,0,10,3,6,83.0,55.3
"Meek, Lloyd",2021,9,21,12,58,1,2,129,14,7,14,72.9,41.4
"Bewley, Brett",2021,6,43,16,32,2,0,0,12,5,3,61.5,49.5
"Frederick, Michael",2021,7,52,35,16,5,11,0,7,5,1,70.3,52.0
"Banfield, Bailey",2021,6,29,12,27,4,2,0,14,3,6,74.2,40.7
"Giro, Stefan",2021,4,31,13,12,1,0,0,3,2,1,52.5,43.3
"Western, Joel",2021,4,14,5,11,0,0,0,6,1,1,61.5,25.3
"Hamling, Joel",2021,1,3,0,7,0,0,2,1,3,0,77.0,32.0
"Sturt, Sam",2021,1,3,2,2,1,1,0,0,0,0,75.0,26.0
"Guthrie, Cameron",2021,23,342,129,325,4,8,0,92,19,16,73.5,105.8
"Selwood, Joel",2021,24,278,77,274,6,4,0,113,54,28,74.8,86.5
"Smith, Isaac",2021,24,383,166,167,15,9,0,38,8,10,83.8,92.1
"Menegola, Sam",2021,23,324,125,209,12,12,0,52,11,24,81.5,86.8
"Tuohy, Zach",2021,21,326,112,155,11,8,0,26,9,17,82.8,83.8
"Stewart, Tom",2021,20,378,178,102,0,3,0,21,16,13,85.3,96.8
"Parfitt, Brandan",2021,23,225,32,207,8,7,0,128,35,29,69.9,73.9
"Atkins, Tom",2021,22,207,84,169,0,1,0,75,9,27,82.9,65.5
"Dangerfield, Patrick",2021,16,212,71,159,8,7,0,53,28,22,72.8,87.3
"Bews, Jed",2021,25,219,116,125,3,2,0,50,17,15,81.0,57.9
"Hawkins, Tom",2021,25,215,129,127,62,37,92,50,14,35,96.0,75.8
