Player,Player_ID,Season_ID,KI,MK,HB,GL,BH,HO,TK,FF,FA,FantasyAve
"Langdon, Zac",424,2020,3.43,1.14,3.86,0.29,0.86,0.00,3.29,1.00,1.00,43.90
"Langdon, Zac",424,2021,4.77,3.24,5.94,0.35,0.41,0.00,2.06,0.35,0.82,44.50
"Langford, Kyle",425,2020,9.13,4.06,8.88,0.69,0.56,0.00,1.88,0.56,0.50,85.70
"Langford, Kyle",425,2021,11.88,5.77,8.94,0.77,0.18,0.12,3.35,0.65,1.06,86.60
"Langford, Kyle",425,2019,9.00,3.56,8.44,0.83,0.17,0.00,3.11,0.72,1.17,69.40
"Larkey, Nick",427,2020,4.10,2.30,2.10,1.40,0.40,0.00,1.00,1.00,0.80,43.50
"Larkey, Nick",427,2019,5.06,3.71,4.18,1.53,0.47,3.12,1.59,1.24,0.47,53.60
"Larkey, Nick",427,2021,5.59,3.82,3.96,1.91,0.68,1.36,1.23,1.46,0.55,54.40
"Laverde, Jayden",428,2020,5.00,3.33,2.67,1.00,0.50,0.00,2.50,0.50,1.00,55.40
"Laverde, Jayden",428,2019,6.60,3.90,4.80,1.10,1.30,0.00,2.10,1.20,0.60,56.80
"Laverde, Jayden",428,2021,8.78,5.83,5.04,0.04,0.00,0.00,1.52,0.74,1.09,57.70
"Lazzaro, Charlie",429,2021,4.58,2.17,3.42,0.25,0.25,0.00,1.75,0.50,0.25,35.60
"Lemmens, Sean",430,2020,4.83,1.17,3.17,0.67,0.00,0.00,1.50,0.33,0.33,42.10
"Lemmens, Sean",430,2019,6.88,1.88,3.63,0.50,0.13,0.00,4.50,1.25,1.00,52.90
"Lemmens, Sean",430,2021,9.33,3.62,3.43,0.00,0.00,0.00,2.10,0.57,1.48,50.20
"Lester, Ryan",431,2019,9.00,3.56,3.00,0.00,0.00,0.00,3.33,0.78,0.67,55.80
"Lester, Ryan",431,2020,7.13,4.13,4.67,0.00,0.07,0.00,2.33,0.47,0.67,63.80
"Lester, Ryan",431,2021,6.59,4.24,5.06,0.06,0.00,0.00,1.88,0.59,0.71,48.90
"Lever, Jake",432,2019,9.63,6.88,5.00,0.00,0.00,0.00,0.38,0.38,0.50,59.90
"Lever, Jake",432,2020,7.12,4.41,3.35,0.00,0.00,0.00,1.47,0.65,0.53,57.80
"Lever, Jake",432,2021,9.68,5.44,5.88,0.00,0.04,0.00,1.76,0.92,0.92,62.40
"Lewis, Jordan",433,2019,9.67,3.42,6.42,0.50,0.25,0.00,1.92,0.83,0.58,62.10
