Player,Season,GM,KI,MK,HB,GL,BH,HO,TK,FF,FA,%P,FantasyAve
"Brown, Luke",2019,15,153,57,74,1,2,0,24,10,5,84.6,58.5
"Brown, Mitch",2021,1,8,6,2,2,2,0,3,1,1,79,70
"Brown, Mitch",2019,16,146,96,74,21,13,3,16,12,16,93.8,65.3
"Brown, Nathan",2019,16,64,42,66,0,0,2,26,12,9,88.6,33.8
"Brown, Tyler",2021,7,35,14,60,0,0,0,11,1,4,67.6,42.9
"Brown, Tyler",2020,9,45,14,61,2,0,0,13,1,3,69.4,49.3
"Bruce, Josh",2021,20,138,100,83,48,21,28,26,13,26,86.7,62.8
"Bruce, Josh",2020,17,55,47,81,14,8,19,28,10,15,87.8,48.2
"Bruce, Josh",2019,22,151,96,109,36,20,33,40,25,41,87.9,58.6
"Bruhn, Tanner",2021,13,56,16,45,4,4,0,33,8,5,56.3,35.3
"Bryan, Nick",2021,1,5,3,7,0,0,18,3,1,1,61,66
"Buckley, Jack",2021,15,112,68,57,0,2,1,34,7,17,81.7,49.9
"Buckley, Jack",2020,2,11,7,8,0,0,0,5,2,0,81,57.5
"Budarick, Connor",2021,2,19,11,9,0,0,0,4,1,3,76.5,58
"Budarick, Connor",2020,15,92,35,46,1,0,0,25,9,9,83.4,46.8
"Buntine, Matt",2021,8,55,21,23,1,1,0,17,6,9,72.1,41
"Buntine, Matt",2019,9,68,36,38,2,2,0,19,10,5,84.2,52.6
"Burgess, Chris",2021,19,112,67,62,10,10,177,42,16,12,79.4,55.6
"Burgess, Chris",2019,14,55,38,60,4,3,7,22,5,9,87.9,35.6
"Burgoyne, Shaun",2021,18,133,46,84,0,1,0,31,5,5,66,45.6
"Burgoyne, Shaun",2020,13,77,26,62,11,2,0,32,3,13,78.2,57
"Burgoyne, Shaun",2019,18,175,77,117,7,3,0,65,13,13,76,70.5
"Burton, Ryan",2021,24,320,133,113,0,1,0,61,14,23,76.6,74
"Burton, Ryan",2020,8,74,30,27,0,1,0,8,0,2,63.9,61.4
"Burton, Ryan",2019,16,220,61,95,4,4,0,33,9,15,70.9,72.3
"Butler, Dan",2021,22,170,43,78,18,17,0,82,18,20,87.1,54.8
"Butler, Dan",2020,19,156,37,51,29,12,0,74,14,15,87.2,74.5
"Butler, Dan",2019,7,44,14,19,5,3,0,27,4,6,80.9,48.4
"Butler, Louis",2021,1,6,5,4,0,0,0,2,0,1,54,46
"Butler, Louis",2020,2,24,6,6,0,1,0,1,0,2,83,63.1
"Butters, Zak",2021,12,111,50,114,8,2,0,42,12,12,76.8,75.4
"Butters, Zak",2020,17,129,55,119,11,6,0,47,12,9,83.5,76.1
"Butters, Zak",2019,19,137,51,132,12,7,0,48,17,13,75.1,56.7
"Butts, Jordon",2021,22,151,84,80,0,0,0,30,23,17,91.2,43.5
"Butts, Jordon",2020,2,8,5,6,0,0,0,2,1,1,88,35.6
"Byrne-Jones, Darcy",2021,24,301,104,179,0,2,0,66,26,12,80.3,76.2
"Byrne-Jones, Darcy",2020,19,204,64,117,0,2,0,34,17,7,83.6,77.1
"Byrne-Jones, Darcy",2019,22,332,112,160,0,3,0,66,18,12,84,86.4
"Byrnes, Ryan",2021,16,131,76,116,6,1,0,29,9,1,71.5,63.3
"Byrnes, Ryan",2020,1,2,0,3,0,0,0,2,1,0,62,26.3
"Bytel, Jack",2021,13,70,18,79,2,1,0,55,8,8,54.2,49.2
"Bytel, Jack",2020,3,9,3,30,0,0,0,8,3,4,67,49.6
"Caddy, Josh",2021,9,68,36,45,2,5,0,11,4,3,52.6,50.9
"Caddy, Josh",2020,8,56,32,44,2,2,1,14,0,5,75.9,63.8
"Caddy, Josh",2019,18,178,64,116,17,9,0,60,14,13,85.5,71.3
"Cahill, Ned",2021,3,9,3,13,1,0,0,3,0,2,70.3,24.7
"Cahill, Ned",2020,3,8,4,9,2,2,0,3,1,2,77,31.3
"Caldwell, Jye",2021,3,27,8,19,0,1,0,16,6,0,62,71.3
"Caldwell, Jye",2020,9,56,27,58,1,2,0,33,4,7,68.2,67.8
"Caldwell, Jye",2019,2,13,7,10,0,0,0,9,0,2,74,55
"Cameron, Charlie",2021,24,199,95,62,55,33,0,53,18,19,86.8,64.3
"Cameron, Charlie",2020,19,139,64,38,31,22,0,42,20,17,87.5,67.8
"Cameron, Charlie",2019,24,217,81,78,57,32,0,49,25,23,86.4,65.7
"Cameron, Darcy",2021,18,147,99,72,22,9,121,32,20,15,81.8,69.3
"Cameron, Darcy",2020,10,46,36,30,4,2,57,14,9,7,74.5,54.1
"Cameron, Jarrod",2020,5,16,5,8,2,1,0,11,2,9,64,27.8
"Cameron, Jarrod",2019,7,35,14,18,11,2,0,28,6,5,73.9,50.6
"Cameron, Jeremy",2021,15,118,57,57,39,16,0,16,17,13,82.5,62.1
"Cameron, Jeremy",2020,17,121,67,55,24,13,0,24,15,25,90,63.8
"Cameron, Jeremy",2019,24,280,157,105,76,50,0,33,24,33,88.6,86.8
"Campbell, Braeden",2021,8,71,26,41,1,2,0,11,4,3,69.9,52.5
"Campbell, Tom",2021,9,49,35,51,6,1,97,14,7,14,74.2,56.6
"Campbell, Tom",2020,1,3,1,2,0,0,2,0,0,0,73,22.5
"Campbell, Tom",2019,2,7,4,8,1,2,16,3,2,3,84.5,39
"Carlisle, Jake",2021,4,20,11,18,1,2,47,9,3,7,76.8,50.5
"Carlisle, Jake",2020,13,107,73,39,0,0,9,17,8,4,90.2,66.4
"Carlisle, Jake",2019,10,84,57,32,1,1,18,7,6,6,89.5,52.8
"Casboult, Levi",2021,13,77,47,34,8,5,79,25,11,17,80.2,48.6
"Casboult, Levi",2020,17,112,80,40,16,8,86,31,9,22,88.6,67.1
"Casboult, Levi",2019,20,159,114,64,15,11,164,44,12,30,86.7,65.5
"Castagna, Jason",2021,21,120,85,126,17,13,0,41,13,3,78.8,54.8
"Castagna, Jason",2020,21,142,71,96,17,12,0,46,8,8,84.4,66.3
"Castagna, Jason",2019,24,200,99,153,27,28,0,75,13,15,84,69.2
"Cavarra, Ben",2021,1,1,1,0,0,0,0,1,1,0,18,11
"Cavarra, Ben",2020,3,15,5,10,4,3,0,8,1,2,72,55.8
"Ceglar, Jonathon",2021,12,67,53,113,2,2,249,26,10,16,74.5,76.3
"Ceglar, Jonathon",2020,13,55,29,82,1,0,274,32,14,19,73.8,75.1
"Ceglar, Jonathon",2019,15,85,69,115,5,6,306,34,18,17,81.5,75.8
"Cerra, Adam",2021,18,250,93,165,5,10,0,47,21,12,76.1,87.3
"Cerra, Adam",2020,17,143,51,152,2,3,0,64,17,17,79.8,82.6
"Cerra, Adam",2019,20,187,74,122,2,7,0,44,14,7,79.2,60.8
"Chandler, Kade",2021,5,1,0,3,0,0,0,2,0,2,13.4,2.2
"Chandler, Kade",2019,1,4,2,3,0,0,0,9,0,0,80,60
"Chapman, Heath",2021,6,50,27,35,1,0,0,10,3,6,83,55.3
"Chol, Mabior",2021,10,59,31,41,7,4,123,25,8,8,65.8,60.5
"Chol, Mabior",2020,11,39,15,27,8,3,66,17,3,7,64.5,43.5
"Chol, Mabior",2019,9,49,22,23,9,5,72,28,6,5,60.2,54.8
"Christensen, Allen",2019,13,109,48,66,16,9,0,44,11,13,72.3,65.8
"Clark, Hunter",2021,13,154,53,95,2,1,0,40,8,16,71.4,72.6
"Clark, Hunter",2020,18,188,64,122,1,1,0,46,13,20,81.7,79.4
"Clark, Hunter",2019,14,153,64,134,2,4,0,43,11,14,77.3,76.9
"Clark, Jordan",2021,11,61,26,52,3,2,0,22,2,7,50.6,41.3
"Clark, Jordan",2020,3,24,12,14,1,1,0,9,1,4,70,70
"Clark, Jordan",2019,18,171,76,78,11,8,0,48,11,13,78.4,63.1
"Clarke, Dylan",2021,4,25,17,36,2,0,0,9,4,5,81.5,58.8
"Clarke, Dylan",2020,8,31,17,50,4,0,0,19,7,5,75.4,52.5
"Clarke, Dylan",2019,11,68,22,102,0,1,0,70,6,11,81.7,66.2
"Clarke, Ryan",2021,3,6,3,1,0,0,0,1,0,1,18.7,10
"Clarke, Ryan",2020,10,86,25,79,2,1,0,25,10,5,89.3,74.9
"Clarke, Ryan",2019,14,122,41,118,1,1,0,44,8,15,81.9,62.2
"Clarke, Zac",2019,9,33,23,57,0,6,188,23,5,19,83.2,57.3
"Clavarino, Oscar",2021,5,20,14,16,0,0,1,8,2,6,69.6,30.2
"Close, Brad",2021,22,132,61,159,15,10,0,72,25,8,80.8,58.5
"Close, Brad",2020,8,29,13,41,2,2,0,24,8,1,76.5,50.5
"Clurey, Tom",2021,11,103,61,37,0,0,0,12,5,8,85,54.1
"Clurey, Tom",2020,18,135,78,40,0,0,0,18,13,13,89.3,53.1
"Clurey, Tom",2019,21,207,117,68,0,0,0,36,6,14,93.3,57.9
"Cockatoo, Nakia",2021,7,18,5,24,5,1,0,22,4,4,61.6,32.6
