Player,GM,KI,MK,HB,GL,BH,HO,TK,FF,FA,%P,,,,
"Roughead, Jordan",17,90,64,67,0,0,0,18,10,4,93.1,,,,
"Madgen, Jack",13,85,46,70,0,0,0,22,9,2,80.6,,,,
"Quaynor, Isaac",11,74,33,74,0,0,0,25,5,1,81.3,,,,
"Thomas, Josh",14,70,26,78,4,4,0,28,3,9,76.5,,,,
"de Goey, Jordan",10,86,26,49,14,12,0,12,6,4,87.0,,,,
"Stephenson, Jaidyn",14,85,47,47,14,10,0,25,4,9,84.8,,,,
"Wills, Rupert",8,43,10,82,0,0,0,38,8,9,61.9,,,,
"Brown, Tyler",9,45,14,61,2, ,0,13,1,3,69.4,,,,
"Varcoe, Travis",9,54,21,42,1,2,0,15,0,2,78.4,,,,
"Howe, Jeremy",4,66,26,20,0,0,0,8,3,3,92.0,,,,
"Cameron, Darcy",10,46,36,30,4,2,57,14,9,7,74.5,,,,
"Greenwood, Levi",6,37,8,33,1,0,0,19,2,1,74.8,,,,
"Cox, Mason",11,38,35,31,14,2,34,6,12,5,84.8,,,,
"Sier, Brayden",3,14,4,38,1,1,0,10,1,6,74.7,,,,
"Scharenberg, Matt",3,25,12,15,0,0,0,8,1,1,83.7,,,,
"Ruscoe, Trey",4,17,5,6,5,4,0,3,1,1,68.3,,,,
"Bosenavulagi, Atu",3,9,6,12,0,0,0,5,2,3,62.7,,,,
"Dunn, Lynden",2,12,5,6,1,0,0,3,1,1,92.5,,,,
"Reid, Ben",2,7,3,4,3,0,1,1,3,1,72.0,,,,
"Appleby, Flynn",1,4,1,5,1,2,0,2,2,1,80.0,,,,
"Broomhead, Tim",1,2, ,5,0,0,0,2,1,1,79.0,,,,
"Keane, Mark",1,5,1,2,0,0,0,2,0,1,79.0,,,,
"Kelly, Will",1,4,2,1,1,1,0,0,0,1,71.0,,,,
"Lynch, Max",1,1,0,1,0,0,2,5,0,1,58.0,,,,
"Merrett, Zach",16,221,69,199,2,2,0,55,15,12,82.4,,,,
"Shiel, Dylan",15,188,38,159,4,6,0,52,18,9,79.8,,,,
"Parish, Darcy",17,146,27,180,7,4,0,52,5,9,78.1,,,,
"Saad, Adam",17,202,49,119,2,1,0,34,10,8,83.2,,,,
"McGrath, Andrew",14,149,22,161,0,1,0,67,14,12,79.7,,,,
"Ridley, Jordan",17,211,110,93,0,2,0,20,10,8,90.9,,,,
"Smith, Devon",16,158,40,133,7,7,0,61,15,12,84.8,,,,
"Langford, Kyle",16,146,65,142,11,9,0,30,9,8,83.3,,,,
"Snelling, Will",17,71,29,151,5,2,0,79,14,12,85.1,,,,
"Hurley, Michael",14,154,86,66,0,0,0,5,9,12,92.9,,,,
"Redman, Mason",13,94,41,65,1,1,0,22,6,11,79.7,,,,
"McDonald-Tipungwuti, Anthony",17,86,35,61,19,7,0,57,8,16,83.2,,,,
"Zaharakis, David",10,63,24,79,9,4,0,20,1,3,81.9,,,,
"Gleeson, Martin",13,75,40,65,0,0,0,17,2,8,82.3,,,,
"Guelfi, Matt",11,72,37,67,0,0,0,18,5,8,80.4,,,,
"Cutler, Tom",8,66,25,44,2,5,0,10,5,6,85.0,,,,
"Ham, Brayden",10,67,28,32,1,1,0,13,1,2,79.6,,,,
"Hooker, Cale",8,43,37,46,3,3,0,6,4,5,90.4,,,,
"Zerk-Thatcher, Brandon",10,46,30,36,0,2,0,8,5,5,88.1,,,,
"Clarke, Dylan",8,31,17,50,4,0,0,19,7,5,75.4,,,,
"McKenna, Conor",6,55,18,25,1,0,0,10,2,2,83.2,,,,
"Francis, Aaron",8,44,27,35,0,0,0,14,5,4,76.9,,,,
"Stewart, James",10,50,33,25,11,4,10,10,6,8,78.6,,,,
"Townsend, Jacob",12,53,22,22,9,5,0,32,12,18,72.8,,,,
"Stringer, Jake",10,57,18,16,15,7,0,19,7,8,81.5,,,,
"McKernan, Shaun",9,48,31,24,5,6,41,11,4,18,78.0,,,,
"Hibberd, Mitchell",5,31,7,38,0,2, ,23,3,6,79.8,,,,
"Draper, Sam",8,46,15,20,1,3,148,15,10,15,80.8,,,,
"Fantasia, Orazio",5,27,15,22,1,0,0,6,2,2,78.8,,,,
"Laverde, Jayden",6,30,20,16,6,3,0,15,3,6,66.7,,,,
"Bellchambers, Tom",7,30,10,11,1,0,139,10,9,7,81.3,,,,
"Heppell, Dyson",3,15,4,25,1,1,0,3,4,2,78.0,,,,
"Daniher, Joe",4,31,25,7,3,6,2,1,4,8,84.0,,,,
"Phillips, Andrew",5,17,8,18,0,1,107,13,5,10,82.2,,,,
"Mosquito, Irving",4,15,9,17,2,4,0,7,1,2,65.3,,,,
"Cahill, Ned",3,8,4,9,2,2,0,3,1,2,77.0,,,,
"Mutch, Kobe",1,5,4,6,0,0,0,0,0,1,78.0,,,,
"Begley, Josh",1,3,2,2,1,0,0,4,1,1,84.0,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Brayshaw, Andrew",17,147,49,191,0,3,0,83,18,8,75.4,,,,
"Ryan, Luke",17,251,88,65,0,0,0,20,11,13,91.7,,,,
"Fyfe, Nat",14,130,43,170,10,6,0,42,19,18,82.1,,,,
"Cerra, Adam",17,143,51,152,2,3,0,64,17,17,79.8,,,,
"Mundy, David",16,131,33,159,4,1,0,59,7,9,71.0,,,,
"Aish, James",16,162,63,103,0,2,0,25,14,4,83.0,,,,
"Walters, Michael",14,145,44,102,15,7,0,40,26,10,87.8,,,,
"Serong, Caleb",14,127,32,109,2,1,0,58,11,6,70.1,,,,
"Hughes, Ethan",17,140,79,77,0,0,0,20,11,9,84.2,,,,
"Wilson, Nathan",15,153,50,52,1,1,0,14,9,3,82.0,,,,
"Conca, Reece",14,140,48,59,0,0,0,38,9,13,84.3,,,,
"Bewley, Brett",12,100,40,74,5,0,0,21,6,1,83.8,,,,
"Lobb, Rory",17,116,63,57,10,6,156,24,15,6,97.2,,,,
"Duman, Taylin",15,113,46,58,0,0,0,29,10,8,80.4,,,,
"Schultz, Lachie",17,109,61,60,12,7,0,43,15,13,80.9,,,,
"Taberner, Matthew",16,129,92,37,29,13,8,8,10,12,98.0,,,,
"Hill, Stephen",12,96,40,61,0,0,0,21,7,6,81.1,,,,
"Cox, Brennan",13,83,51,65,0,0,0,11,10,7,90.5,,,,
"Acres, Blake",7,75,40,59,0,0,0,19,3,7,83.0,,,,
"Darcy, Sean",15,42,25,92,5,6,330,26,7,29,77.7,,,,
"Tucker, Darcy",8,68,21,44,4,2,0,26,7,8,69.9,,,,
"Crowden, Mitch",10,50,15,34,6,1,0,47,4,10,77.7,,,,
"Colyer, Travis",9,54,16,26,3,2,0,9,0,3,71.7,,,,
"Frederick, Michael",10,41,18,39,4,6,0,8,4,5,74.4,,,,
"Blakely, Connor",5,26,12,49,0,0,0,12,5,3,58.6,,,,
"Hogan, Jesse",7,41,37,30,5,4,0,4,3,2,93.7,,,,
"Young, Hayden",5,33,16,17,0,0,0,7,2,1,62.8,,,,
"Logue, Griffin",5,22,12,27,0,0,0,5,3,1,98.2,,,,
"Banfield, Bailey",5,26,8,21,2,0,0,18,8,3,81.8,,,,
"Matera, Brandon",5,25,8,6,3,3,0,12,4,3,78.0,,,,
"Watson, Tobe",3,21,12,9,0,0,0,7,1,0,81.3,,,,
"Sturt, Sam",3,12,7,11,4,0,0,3,2,0,74.0,,,,
"Henry, Liam",3,16,8,6,1,3,0,4,1,0,72.3,,,,
"McCarthy, Cam",1,8,3,3,0,1,0,1,1,0,69.0,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Guthrie, Cameron",21,225,95,222,7,2,0,86,17,18,73.6,,,,
"Menegola, Sam",21,261,118,184,16,5,0,32,3,14,84.0,,,,
"Dangerfield, Patrick",21,280,78,156,17,17,0,55,34,27,85.1,,,,
"Duncan, Mitch",20,262,123,145,13,8,0,68,13,14,78.5,,,,
"Stewart, Tom",18,263,125,81,0,1,0,23,4,12,79.1,,,,
"Tuohy, Zach",19,234,74,82,8,8,0,17,6,7,83.5,,,,
"Miers, Gryan",21,188,93,97,19,6,0,33,12,8,87.9,,,,
"Parfitt, Brandan",18,148,31,131,8,6,0,107,13,21,71.3,,,,
"Blicavs, Mark",21,132,70,131,3,1,181,59,22,22,87.0,,,,
"Hawkins, Tom",21,172,114,87,49,36,45,40,7,18,95.6,,,,
"Selwood, Joel",15,138,37,120,4,4,0,63,20,20,73.3,,,,
"OConnor, Mark",21,158,87,80,2,0,0,31,11,11,88.4,,,,
"Bews, Jed",20,146,65,72,3,2,0,35,12,10,85.9,,,,
"Dahlhaus, Luke",16,89,44,127,7,0,0,37,7,5,75.4,,,,
"Henry, Jack",21,157,82,48,1,0,0,35,7,19,83.5,,,,
"Taylor, Harry",19,113,61,73,1,0,0,27,13,10,88.1,,,,
"Henderson, Lachie",14,137,90,46,1,0,0,17,3,13,93.5,,,,
"Ablett, Gary",12,97,24,82,9,8,0,27,5,10,82.4,,,,
"Kolodjashnij, Jake",17,125,77,52,0,3,0,25,2,11,88.7,,,,
"Rohan, Gary",19,123,61,41,22,17,0,36,15,9,83.2,,,,
"Steven, Jack",9,84,33,64,1,2,0,35,12,6,68.3,,,,
"Stanley, Rhys",11,72,32,68,10,5,212,14,12,12,79.6,,,,
"Simpson, Sam",9,60,23,65,3,2,0,28,7,8,74.2,,,,
"Atkins, Tom",12,43,11,74,4,1,0,38,5,6,74.6,,,,
"Ratugolea, Esava",12,60,32,44,5,5,73,30,14,8,78.8,,,,
"Fogarty, Lachie",6,52,17,29,1,1,0,19,10,3,74.5,,,,
"Close, Brad",8,29,13,41,2,2,0,24,8,1,76.5,,,,
"Narkle, Quinton",5,27,9,30,0,1,0,18,4,4,57.4,,,,
"Fort, Darcy",5,31,9,16,1,0,107,9,3,13,81.4,,,,
"Clark, Jordan",3,24,12,14,1,1,0,9,1,4,70.0,,,,
"Constable, Charlie",2,13,4,22,0,1,0,8,2,2,58.0,,,,
"Guthrie, Zach",3,22,7,10,2,0,0,2,2,3,82.3,,,,
"Jenkins, Josh",1,8,3,6,0,0,0,4,1,0,87.0,,,,
"Jarvis, Ben",1,3,3,2,0,1,0,1,0,0,60.0,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Miller, Touk",17,177,50,163,3,4,0,88,31,14,82.4,,,,
"Greenwood, Hugh",17,173,27,130,3,4,3,117,16,18,77.1,,,,
"Ellis, Brandon",16,194,68,99,5,3,0,42,13,13,86.4,,,,
"Bowes, Jack",17,195,69,95,1,0,0,30,5,10,82.6,,,,
"Weller, Lachie",17,161,39,126,12,3,0,48,13,9,82.6,,,,
"Anderson, Noah",17,159,48,122,4,4,0,32,10,10,76.1,,,,
"Lukosius, Jack",17,219,62,59,3,3,0,27,8,13,82.8,,,,
"Swallow, David",15,154,54,116,4,10,0,59,8,21,78.2,,,,
"Ainsworth, Ben",16,147,70,80,12,13,0,27,15,9,82.2,,,,
"Powell, Wil",15,102,50,95,2,0,0,25,7,6,76.7,,,,
"Collins, Sam",17,107,74,68,0,0,0,27,18,6,97.6,,,,
"Witts, Jarrod",17,98,37,73,0,3,477,28,18,21,85.8,,,,
"Harbrow, Jarrod",13,118,40,43,0,0,0,13,6,12,83.5,,,,
"Ballard, Charlie",16,114,68,44,0,0,0,13,7,9,92.4,,,,
"Day, Sam",17,68,47,79,12,7,54,21,9,16,77.6,,,,
"Budarick, Connor",15,92,35,46,1,0,0,25,9,9,83.4,,,,
"Macpherson, Darcy",12,80,26,58,4,0,0,33,11,8,78.1,,,,
"Rankine, Izak",12,90,26,48,12,17,0,21,12,15,82.5,,,,
"Sexton, Alex",14,103,44,28,19,12,0,22,7,8,83.6,,,,
"Holman, Nick",12,48,27,73,2,0,0,41,6,11,82.6,,,,
"King, Ben",17,88,48,33,25,20,0,7,12,10,92.5,,,,
"Hanley, Pearce",8,67,30,26,0,1,0,12,4,8,74.9,,,,
"Rowell, Matt",5,38,4,49,6,0,0,26,8,6,63.8,,,,
"Fiorini, Brayden",5,45,18,20,2,0,0,9,2,0,72.2,,,,
"Corbett, Josh",7,45,31,17,3,6,0,7,8,7,79.0,,,,
"Graham, Caleb",7,36,25,14,0,0,0,2,2,7,84.9,,,,
"Lemmens, Sean",6,29,7,19,4,0,0,9,2,2,57.3,,,,
"Flanders, Sam",5,17,4,14,2,1,0,14,2,2,69.6,,,,
"Sharp, Jeremy",2,10,4,9,0,0,0,0,1,0,65.0,,,,
"Brodie, Will",1,4,3,10,0,0,0,1,0,0,67.0,,,,
"Joyce, Jesse",1,9,3,5,0,0,0,1,0,0,74.0,,,,
"Farrar, Jy",1,3,2,3,1,0,0,1,0,0,60.0,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Whitfield, Lachie",17,224,111,166,1,2,0,34,15,12,86.0,,,,
"Coniglio, Stephen",16,196,44,141,5,8,0,62,17,19,87.4,,,,
"Hopper, Jacob",17,159,40,168,1,7,0,71,22,18,75.6,,,,
"Kelly, Josh",14,177,42,132,5,8,0,58,16,8,85.5,,,,
