Player,ID,Season,GM,KI_Ave,MK_Ave,HB_Ave,GL_Ave,BH_Ave,HO_Ave,TK_Ave,FF_Ave,FA_Ave,FantasyAve
"Durdin, Sam",294,2018,1,5.00,1.00,1.00,0.00,0.00,4.00,1.00,0.00,2.00,22.0
"Durdin, Sam",294,2019,10,5.50,3.00,3.30,0.00,0.00,0.00,1.70,0.40,0.80,36.9
"Durdin, Sam",294,2020,3,4.40,3.20,3.60,0.00,0.40,0.00,0.80,0.80,0.80,32.0
"Durham, Sam",295,2021,7,6.71,4.43,7.43,0.14,0.29,0.00,1.29,0.57,0.14,54.7
"Duryea, Taylor",296,2015,22,12.77,7.09,5.05,0.27,0.09,0.00,2.14,0.59,0.36,79.5
"Duryea, Taylor",296,2016,23,11.61,5.52,5.17,0.09,0.17,0.00,1.91,0.70,0.57,69.1
"Duryea, Taylor",296,2017,15,8.67,5.00,5.73,0.40,0.60,0.00,2.73,0.47,0.60,65.1
"Duryea, Taylor",296,2018,17,9.35,4.65,5.88,0.06,0.41,0.00,1.94,0.71,0.88,60.4
"Duryea, Taylor",296,2019,14,13.79,5.86,5.14,0.14,0.07,0.00,2.00,0.79,0.71,76.8
"Duryea, Taylor",296,2020,3,14.00,5.20,4.80,0.00,0.00,0.00,3.60,0.80,0.00,82.4
"Duryea, Taylor",296,2021,25,11.24,5.28,6.24,0.04,0.00,0.00,1.92,0.88,0.60,69.0
"Duursma, Xavier",297,2019,20,10.20,5.70,9.40,0.55,0.65,0.00,2.05,1.20,0.60,78.1
"Duursma, Xavier",297,2020,15,9.12,4.16,6.64,0.56,0.24,0.00,2.88,1.28,0.56,67.8
"Duursma, Xavier",297,2021,11,10.09,4.73,8.73,0.27,0.27,0.00,2.64,1.18,0.82,73.1
"Dwyer, Sam",298,2015,5,6.00,2.80,4.80,0.80,0.40,0.00,1.40,0.20,0.00,47.0
"Eagles, Matt",299,2018,4,4.75,2.50,2.50,0.25,0.00,0.00,0.75,0.75,1.50,27.5
"Eagles, Matt",299,2020,2,1.20,0.00,0.00,0.00,0.00,9.00,2.40,0.00,0.60,20.4
"Ebert, Brad",300,2015,22,13.00,6.00,10.27,0.45,0.50,1.27,5.55,0.86,1.05,102.0
"Ebert, Brad",300,2016,21,10.10,3.90,8.29,0.81,0.38,0.71,5.95,0.71,1.52,84.5
"Ebert, Brad",300,2017,23,12.57,3.65,12.17,0.30,0.35,0.00,7.65,0.65,1.17,102.9
"Ebert, Brad",300,2018,22,10.09,4.95,10.32,0.27,0.23,0.09,6.09,0.77,1.32,88.9
"Ebert, Brad",300,2019,11,9.91,4.82,5.73,1.18,1.00,0.00,4.55,0.82,1.00,79.7
"Ebert, Brad",300,2020,14,11.23,4.46,6.51,0.94,1.20,0.00,4.71,1.37,0.77,84.9
"Eddy, Brett",301,2017,3,5.33,1.67,1.67,1.00,1.00,0.00,2.33,1.33,0.67,40.0
"Edwards, Harry",302,2020,1,2.40,0.00,1.20,0.00,0.00,0.00,0.00,0.00,0.00,9.6
"Edwards, Harry",302,2021,10,7.50,5.30,2.80,0.00,0.00,0.00,2.00,0.60,0.60,50.8
"Edwards, Luke",303,2021,8,7.13,3.25,5.38,0.00,0.13,0.00,1.25,0.63,0.50,46.1
"Edwards, Shane",304,2015,16,9.50,2.75,9.25,0.81,0.56,0.00,3.50,0.75,0.81,73.0
"Edwards, Shane",304,2016,19,8.74,2.26,9.95,0.79,0.63,0.00,2.89,0.47,0.58,68.6
"Edwards, Shane",304,2017,20,7.70,2.75,9.95,0.55,0.80,0.00,2.90,0.50,0.75,65.2
"Edwards, Shane",304,2018,24,7.92,2.13,11.33,0.58,0.33,0.00,2.83,0.42,1.00,65.4
"Edwards, Shane",304,2019,24,9.96,3.29,11.96,0.29,0.08,0.00,3.13,0.92,1.21,75.3
"Edwards, Shane",304,2020,10,9.36,1.20,11.28,0.60,0.12,0.00,3.24,0.96,0.72,69.7
"Edwards, Shane",304,2021,16,9.31,2.94,9.06,0.50,0.19,0.00,2.25,0.38,0.81,65.0
"Edwards, Shaun",305,2015,9,6.89,2.33,3.11,0.89,0.67,0.00,2.11,0.44,0.44,47.4
"Edwards, Shaun",305,2016,3,11.00,2.33,5.33,0.00,0.33,1.00,1.67,0.00,0.67,56.7
"Eggmolesse-Smith, Derek",306,2019,2,9.50,2.00,8.00,0.00,0.00,0.00,2.00,1.00,0.50,58.0
"Eggmolesse-Smith, Derek",306,2020,6,10.60,3.00,4.80,0.00,0.00,0.00,2.60,0.60,1.60,56.6
"Eggmolesse-Smith, Derek",306,2021,1,6.00,1.00,3.00,0.00,0.00,0.00,2.00,1.00,2.00,30.0
"Ellard, David",307,2015,10,5.50,2.40,4.70,0.40,0.30,0.00,3.20,0.70,0.20,48.7
"Elliott, Jamie",308,2015,20,10.10,5.55,4.35,1.75,0.70,0.05,3.15,0.75,0.70,78.2
"Elliott, Jamie",308,2017,17,9.59,6.06,4.47,2.00,0.94,0.00,2.24,0.71,0.88,75.8
"Elliott, Jamie",308,2019,16,9.00,5.56,2.94,1.63,1.13,0.00,2.31,0.81,0.25,69.8
"Elliott, Jamie",308,2020,18,9.40,3.40,5.73,0.67,0.67,0.00,3.80,0.47,0.80,67.8
"Elliott, Jamie",308,2021,13,9.77,4.69,5.62,1.92,0.62,0.00,2.46,0.77,1.15,73.9
"Ellis, Brandon",309,2015,23,14.87,6.35,10.96,0.35,0.48,0.00,3.35,0.65,0.83,99.7
"Ellis, Brandon",309,2016,22,13.18,6.09,10.45,0.23,0.41,0.05,2.55,0.55,0.59,89.5
"Ellis, Brandon",309,2017,25,13.24,5.04,9.04,0.28,0.16,0.00,2.04,0.64,1.00,80.6
"Ellis, Brandon",309,2018,18,11.22,4.83,8.56,0.17,0.22,0.00,2.11,0.67,0.50,74.1
"Ellis, Brandon",309,2019,23,11.70,5.04,9.39,0.39,0.13,0.00,2.48,0.48,0.48,80.4
"Ellis, Brandon",309,2020,16,14.55,5.10,7.43,0.38,0.23,0.00,3.15,0.98,0.98,86.9
"Ellis, Brandon",309,2021,18,15.17,7.22,8.33,0.28,0.11,0.00,2.61,0.61,0.94,93.8
"Ellis, Corey",310,2015,6,3.33,1.83,4.67,0.50,0.17,0.00,1.67,0.33,0.33,34.0
