Player,ID,Season,GM,KI,MK,HB,GL,BH,HO,TK,FF,FA,%P,FantasyAve,KI_norm,MK_norm,HB_norm,GL_norm,BH_norm,HO_norm,TK_norm,FF_norm,FA_norm,%P_norm,FantasyAve_norm
"Daniels, Brent",176.00,2019,26.00,200.00,80.00,180.00,11.00,20.00,0.00,81.00,21.00,18.00,74.80,60.70,0.42,0.43,0.40,0.14,0.40,0.00,0.48,0.40,0.23,0.74,0.48
"Daniher, Joe",177.00,2021,24.00,259.00,117.00,83.00,46.00,32.00,49.00,25.00,30.00,33.00,93.80,70.10,0.50,0.65,0.19,0.74,0.78,0.06,0.14,0.56,0.72,0.93,0.57
"Daniher, Joe",177.00,2020,4.00,31.00,25.00,7.00,3.00,6.00,2.00,1.00,4.00,8.00,84.00,60.00,0.10,0.20,0.03,0.06,0.17,0.00,0.01,0.09,0.28,0.81,0.43
"Daniher, Joe",177.00,2019,4.00,33.00,22.00,18.00,7.00,5.00,16.00,8.00,4.00,8.00,86.50,69.00,0.07,0.12,0.04,0.09,0.10,0.02,0.05,0.08,0.10,0.87,0.55
"Darcy, Sean",178.00,2021,21.00,156.00,90.00,193.00,12.00,12.00,599.00,64.00,22.00,38.00,81.00,93.90,0.30,0.50,0.43,0.19,0.29,0.75,0.35,0.41,0.83,0.79,0.76
"Darcy, Sean",178.00,2020,15.00,42.00,25.00,92.00,5.00,6.00,330.00,26.00,7.00,29.00,77.70,64.60,0.14,0.20,0.34,0.10,0.17,0.56,0.22,0.16,1.00,0.73,0.47
"Darcy, Sean",178.00,2019,11.00,44.00,20.00,78.00,4.00,7.00,300.00,30.00,10.00,18.00,84.60,68.60,0.09,0.11,0.17,0.05,0.14,0.29,0.18,0.19,0.23,0.85,0.55
"Darling, Jack",179.00,2021,22.00,176.00,123.00,91.00,42.00,19.00,16.00,53.00,29.00,25.00,96.80,69.60,0.34,0.68,0.20,0.68,0.46,0.02,0.29,0.54,0.54,0.97,0.56
"Darling, Jack",179.00,2020,18.00,112.00,64.00,57.00,30.00,12.00,8.00,35.00,20.00,9.00,96.20,67.70,0.38,0.51,0.21,0.61,0.33,0.01,0.30,0.47,0.31,0.97,0.50
"Darling, Jack",179.00,2019,24.00,203.00,112.00,84.00,59.00,18.00,17.00,64.00,30.00,26.00,92.30,71.30,0.43,0.60,0.19,0.78,0.36,0.02,0.38,0.57,0.33,0.94,0.57
"Davies, Alex",180.00,2021,1.00,5.00,2.00,11.00,0.00,2.00,0.00,6.00,0.00,2.00,65.00,63.00,0.01,0.01,0.02,0.00,0.05,0.00,0.03,0.00,0.04,0.60,0.51
"Davies-Uniacke, Luke",181.00,2021,20.00,229.00,97.00,211.00,6.00,12.00,0.00,64.00,11.00,27.00,82.50,81.70,0.44,0.54,0.47,0.10,0.29,0.00,0.35,0.20,0.59,0.80,0.66
"Davies-Uniacke, Luke",181.00,2020,9.00,73.00,19.00,83.00,2.00,0.00,0.00,21.00,6.00,12.00,74.10,70.60,0.25,0.15,0.31,0.04,0.00,0.00,0.18,0.14,0.41,0.69,0.53
"Davies-Uniacke, Luke",181.00,2019,14.00,102.00,39.00,106.00,4.00,5.00,0.00,30.00,9.00,16.00,67.60,53.20,0.22,0.21,0.23,0.05,0.10,0.00,0.18,0.17,0.21,0.65,0.42
"Davis, Ben",182.00,2021,4.00,20.00,10.00,15.00,0.00,0.00,0.00,3.00,3.00,1.00,57.00,33.00,0.04,0.06,0.03,0.00,0.00,0.00,0.02,0.06,0.02,0.51,0.26
"Davis, Ben",182.00,2020,1.00,4.00,2.00,1.00,1.00,0.00,0.00,2.00,3.00,0.00,85.00,46.30,0.01,0.02,0.00,0.02,0.00,0.00,0.02,0.07,0.00,0.83,0.32
"Davis, Ben",182.00,2019,1.00,3.00,2.00,4.00,0.00,0.00,0.00,1.00,0.00,0.00,68.00,27.00,0.01,0.01,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.66,0.20
"Davis, Phil",183.00,2021,11.00,64.00,47.00,47.00,0.00,0.00,0.00,16.00,10.00,14.00,77.20,41.70,0.12,0.26,0.11,0.00,0.00,0.00,0.09,0.19,0.30,0.74,0.33
"Davis, Phil",183.00,2020,10.00,42.00,37.00,42.00,0.00,0.00,0.00,12.00,9.00,6.00,83.50,45.00,0.14,0.30,0.16,0.00,0.00,0.00,0.10,0.21,0.21,0.81,0.30
"Davis, Phil",183.00,2019,23.00,196.00,162.00,120.00,1.00,1.00,0.00,42.00,28.00,19.00,87.40,63.50,0.41,0.86,0.26,0.01,0.02,0.00,0.25,0.53,0.24,0.88,0.50
"Daw, Majak",184.00,2020,4.00,17.00,9.00,18.00,3.00,1.00,23.00,8.00,3.00,3.00,74.50,56.90,0.06,0.07,0.07,0.06,0.03,0.04,0.07,0.07,0.10,0.69,0.41
"Dawson, Jacob",185.00,2019,6.00,62.00,42.00,40.00,0.00,0.00,0.00,13.00,1.00,3.00,83.50,72.70,0.13,0.22,0.09,0.00,0.00,0.00,0.08,0.02,0.04,0.84,0.58
"Dawson, Jordan",186.00,2021,23.00,354.00,126.00,159.00,9.00,7.00,0.00,68.00,22.00,23.00,84.60,88.90,0.69,0.70,0.36,0.15,0.17,0.00,0.37,0.41,0.50,0.83,0.72
"Dawson, Jordan",186.00,2020,16.00,183.00,60.00,77.00,6.00,7.00,0.00,38.00,13.00,10.00,84.00,82.90,0.62,0.48,0.29,0.12,0.19,0.00,0.32,0.30,0.34,0.81,0.63
"Dawson, Jordan",186.00,2019,20.00,249.00,109.00,127.00,15.00,1.00,1.00,60.00,20.00,10.00,81.70,82.50,0.53,0.58,0.28,0.20,0.02,0.00,0.36,0.38,0.13,0.82,0.66
"Day, Sam",187.00,2021,6.00,26.00,23.00,27.00,3.00,4.00,23.00,17.00,4.00,5.00,74.00,50.50,0.05,0.13,0.06,0.05,0.10,0.03,0.09,0.07,0.11,0.70,0.40
"Day, Sam",187.00,2020,17.00,68.00,47.00,79.00,12.00,7.00,54.00,21.00,9.00,16.00,77.60,50.10,0.23,0.38,0.29,0.24,0.19,0.09,0.18,0.21,0.55,0.73,0.35
"Day, Sam",187.00,2019,10.00,61.00,50.00,55.00,11.00,4.00,44.00,21.00,9.00,4.00,82.10,63.80,0.13,0.27,0.12,0.14,0.08,0.04,0.12,0.17,0.05,0.82,0.51
"Day, Will",188.00,2021,5.00,55.00,25.00,44.00,0.00,0.00,0.00,8.00,5.00,7.00,79.40,68.80,0.11,0.14,0.10,0.00,0.00,0.00,0.04,0.09,0.15,0.77,0.56
"Day, Will",188.00,2020,11.00,100.00,48.00,72.00,1.00,1.00,0.00,15.00,10.00,3.00,82.70,74.50,0.34,0.38,0.27,0.02,0.03,0.00,0.13,0.23,0.10,0.80,0.56
"de Boer, Matt",189.00,2021,11.00,66.00,34.00,94.00,2.00,2.00,0.00,40.00,5.00,7.00,77.20,58.70,0.13,0.19,0.21,0.03,0.05,0.00,0.22,0.09,0.15,0.74,0.47
"de Boer, Matt",189.00,2020,13.00,58.00,20.00,95.00,2.00,0.00,0.00,46.00,21.00,20.00,81.80,55.90,0.20,0.16,0.35,0.04,0.00,0.00,0.39,0.49,0.69,0.78,0.40
"de Boer, Matt",189.00,2019,19.00,122.00,46.00,196.00,4.00,7.00,1.00,100.00,21.00,27.00,82.90,66.70,0.26,0.24,0.43,0.05,0.14,0.00,0.59,0.40,0.35,0.83,0.53
"de Goey, Jordan",190.00,2021,20.00,251.00,108.00,169.00,23.00,23.00,0.00,39.00,12.00,18.00,83.40,84.50,0.49,0.60,0.38,0.37,0.56,0.00,0.21,0.22,0.39,0.81,0.69
"de Goey, Jordan",190.00,2020,10.00,86.00,26.00,49.00,14.00,12.00,0.00,12.00,6.00,4.00,87.00,71.50,0.29,0.21,0.18,0.29,0.33,0.00,0.10,0.14,0.14,0.85,0.53
"de Goey, Jordan",190.00,2019,17.00,204.00,81.00,81.00,34.00,22.00,0.00,35.00,18.00,14.00,77.70,79.90,0.43,0.43,0.18,0.45,0.44,0.00,0.21,0.34,0.18,0.77,0.64
"De Koning, Sam",191.00,2021,1.00,7.00,3.00,1.00,0.00,2.00,1.00,0.00,0.00,2.00,81.00,29.00,0.01,0.02,0.00,0.00,0.05,0.00,0.00,0.00,0.04,0.79,0.22
"De Koning, Tom",192.00,2021,13.00,81.00,40.00,42.00,7.00,4.00,219.00,27.00,16.00,15.00,74.70,60.80,0.16,0.22,0.09,0.11,0.10,0.27,0.15,0.30,0.33,0.71,0.49
"De Koning, Tom",192.00,2020,7.00,26.00,10.00,28.00,0.00,2.00,87.00,16.00,3.00,9.00,77.60,52.30,0.09,0.08,0.10,0.00,0.06,0.15,0.14,0.07,0.31,0.73,0.37
"Deledio, Brett",193.00,2019,14.00,129.00,71.00,115.00,6.00,6.00,0.00,36.00,11.00,7.00,77.40,71.90,0.27,0.38,0.25,0.08,0.12,0.00,0.21,0.21,0.09,0.77,0.57
"Deluca, Josh",194.00,2019,6.00,31.00,13.00,40.00,4.00,1.00,0.00,23.00,0.00,4.00,73.30,52.80,0.07,0.07,0.09,0.05,0.02,0.00,0.14,0.00,0.05,0.72,0.42
"Dickson, Tory",195.00,2019,17.00,109.00,60.00,85.00,24.00,8.00,0.00,41.00,8.00,8.00,77.20,57.50,0.23,0.32,0.19,0.32,0.16,0.00,0.24,0.15,0.10,0.76,0.45
"Dixon, Charlie",196.00,2021,24.00,178.00,97.00,117.00,48.00,24.00,104.00,50.00,39.00,27.00,94.80,68.00,0.35,0.54,0.26,0.77,0.59,0.13,0.27,0.72,0.59,0.95,0.55
"Dixon, Charlie",196.00,2020,18.00,110.00,69.00,60.00,34.00,21.00,46.00,30.00,18.00,14.00,94.30,71.10,0.37,0.55,0.22,0.69,0.58,0.08,0.26,0.42,0.48,0.95,0.53
"Dixon, Charlie",196.00,2019,9.00,61.00,29.00,40.00,13.00,11.00,23.00,19.00,18.00,16.00,87.30,56.40,0.13,0.15,0.09,0.17,0.22,0.02,0.11,0.34,0.21,0.88,0.45
"Docherty, Sam",197.00,2021,14.00,252.00,107.00,88.00,0.00,0.00,0.00,31.00,16.00,4.00,86.70,98.60,0.49,0.59,0.20,0.00,0.00,0.00,0.17,0.30,0.09,0.85,0.80
"Docherty, Sam",197.00,2020,16.00,216.00,83.00,82.00,0.00,1.00,0.00,19.00,15.00,6.00,82.40,88.70,0.73,0.66,0.30,0.00,0.03,0.00,0.16,0.35,0.21,0.79,0.68
"Doedee, Tom",198.00,2021,21.00,203.00,100.00,145.00,1.00,1.00,0.00,47.00,19.00,22.00,89.00,64.10,0.39,0.55,0.33,0.02,0.02,0.00,0.25,0.35,0.48,0.88,0.52
"Doedee, Tom",198.00,2020,9.00,75.00,47.00,54.00,0.00,0.00,0.00,15.00,6.00,3.00,83.60,73.80,0.25,0.38,0.20,0.00,0.00,0.00,0.13,0.14,0.10,0.81,0.55
"Doedee, Tom",198.00,2019,1.00,5.00,3.00,3.00,0.00,0.00,0.00,1.00,0.00,0.00,27.00,34.00,0.01,0.02,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.18,0.26
"Douglas, Richard",199.00,2019,9.00,84.00,27.00,52.00,2.00,3.00,0.00,23.00,5.00,4.00,81.60,59.70,0.18,0.14,0.11,0.03,0.06,0.00,0.14,0.09,0.05,0.81,0.47
"Dow, Paddy",200.00,2021,17.00,95.00,28.00,147.00,4.00,2.00,0.00,39.00,9.00,13.00,63.50,47.90,0.18,0.15,0.33,0.06,0.05,0.00,0.21,0.17,0.28,0.58,0.38
"Dow, Paddy",200.00,2020,3.00,12.00,6.00,15.00,1.00,2.00,0.00,3.00,2.00,1.00,68.30,42.90,0.04,0.05,0.06,0.02,0.06,0.00,0.03,0.05,0.03,0.61,0.29
"Dow, Paddy",200.00,2019,19.00,138.00,40.00,133.00,7.00,10.00,0.00,50.00,11.00,16.00,74.90,53.40,0.29,0.21,0.29,0.09,0.20,0.00,0.30,0.21,0.21,0.74,0.42
"Dow, Thomson",201.00,2021,5.00,29.00,16.00,37.00,0.00,2.00,0.00,5.00,1.00,2.00,67.20,45.20,0.05,0.09,0.08,0.00,0.05,0.00,0.03,0.02,0.04,0.62,0.36
"Dow, Thomson",201.00,2020,2.00,2.00,2.00,14.00,0.00,0.00,0.00,4.00,0.00,1.00,75.50,33.10,0.01,0.02,0.05,0.00,0.00,0.00,0.03,0.00,0.03,0.70,0.20
"Downie, Connor",202.00,2021,2.00,6.00,2.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,38.50,18.00,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.13
"Draper, Sam",203.00,2021,13.00,85.00,31.00,46.00,2.00,5.00,316.00,23.00,16.00,24.00,78.90,62.20,0.16,0.17,0.10,0.03,0.12,0.39,0.12,0.30,0.52,0.76,0.50
"Draper, Sam",203.00,2020,8.00,46.00,15.00,20.00,1.00,3.00,148.00,15.00,10.00,15.00,80.80,63.30,0.15,0.12,0.07,0.02,0.08,0.25,0.13,0.23,0.52,0.77,0.46
"Drew, Willem",204.00,2021,24.00,177.00,52.00,247.00,4.00,4.00,0.00,164.00,21.00,30.00,71.40,74.80,0.34,0.29,0.56,0.06,0.10,0.00,0.89,0.39,0.65,0.67,0.61
"Drew, Willem",204.00,2019,10.00,72.00,22.00,87.00,2.00,1.00,0.00,56.00,10.00,9.00,80.80,67.60,0.15,0.12,0.19,0.03,0.02,0.00,0.33,0.19,0.12,0.81,0.54
"Duggan, Liam",205.00,2021,14.00,188.00,94.00,77.00,0.00,0.00,0.00,30.00,4.00,9.00,84.50,78.40,0.36,0.52,0.17,0.00,0.00,0.00,0.16,0.07,0.20,0.83,0.64
"Duggan, Liam",205.00,2020,17.00,211.00,98.00,70.00,0.00,2.00,0.00,31.00,8.00,8.00,86.90,86.50,0.71,0.78,0.26,0.00,0.06,0.00,0.26,0.19,0.28,0.85,0.67
"Duggan, Liam",205.00,2019,15.00,174.00,85.00,65.00,0.00,1.00,0.00,26.00,6.00,7.00,83.60,66.50,0.37,0.45,0.14,0.00,0.02,0.00,0.15,0.11,0.09,0.84,0.53
"Duman, Taylin",206.00,2021,6.00,49.00,28.00,42.00,0.00,0.00,0.00,12.00,1.00,3.00,75.80,59.20,0.09,0.15,0.09,0.00,0.00,0.00,0.06,0.02,0.07,0.72,0.48
"Duman, Taylin",206.00,2020,15.00,113.00,46.00,58.00,0.00,0.00,0.00,29.00,10.00,8.00,80.40,57.90,0.38,0.37,0.22,0.00,0.00,0.00,0.25,0.23,0.28,0.77,0.42
"Duman, Taylin",206.00,2019,14.00,150.00,77.00,59.00,1.00,3.00,0.00,33.00,6.00,8.00,84.20,65.90,0.32,0.41,0.13,0.01,0.06,0.00,0.20,0.11,0.10,0.84,0.52
"Dumont, Trent",207.00,2021,14.00,168.00,75.00,82.00,0.00,0.00,0.00,26.00,5.00,6.00,79.90,70.30,0.33,0.41,0.18,0.00,0.00,0.00,0.14,0.09,0.13,0.77,0.57
"Dumont, Trent",207.00,2020,17.00,176.00,52.00,166.00,3.00,4.00,0.00,76.00,18.00,8.00,82.40,98.20,0.59,0.42,0.62,0.06,0.11,0.00,0.65,0.42,0.28,0.79,0.77
"Dumont, Trent",207.00,2019,21.00,271.00,91.00,224.00,3.00,5.00,0.00,77.00,18.00,13.00,87.60,87.80,0.57,0.48,0.49,0.04,0.10,0.00,0.46,0.34,0.17,0.88,0.70
"Duncan, Mitch",208.00,2021,13.00,200.00,98.00,115.00,8.00,2.00,0.00,33.00,16.00,5.00,73.30,100.50,0.39,0.54,0.26,0.13,0.05,0.00,0.18,0.30,0.11,0.70,0.82
"Duncan, Mitch",208.00,2020,20.00,262.00,123.00,145.00,13.00,8.00,0.00,68.00,13.00,14.00,78.50,110.90,0.88,0.98,0.54,0.27,0.22,0.00,0.58,0.30,0.48,0.74,0.88
"Duncan, Mitch",208.00,2019,23.00,340.00,172.00,241.00,20.00,6.00,0.00,68.00,19.00,20.00,82.50,103.30,0.72,0.91,0.53,0.26,0.12,0.00,0.40,0.36,0.26,0.82,0.83
"Dunkley, Josh",209.00,2021,15.00,129.00,56.00,220.00,5.00,8.00,0.00,78.00,15.00,7.00,78.70,89.30,0.25,0.31,0.49,0.08,0.20,0.00,0.42,0.28,0.15,0.76,0.73
"Dunkley, Josh",209.00,2020,12.00,85.00,28.00,134.00,6.00,5.00,12.00,71.00,10.00,9.00,80.30,96.60,0.29,0.22,0.50,0.12,0.14,0.02,0.61,0.23,0.31,0.77,0.75
"Dunkley, Josh",209.00,2019,23.00,307.00,95.00,344.00,11.00,8.00,11.00,141.00,45.00,19.00,84.50,110.00,0.65,0.51,0.76,0.14,0.16,0.01,0.83,0.85,0.24,0.85,0.89
"Dunkley, Kyle",210.00,2019,5.00,34.00,22.00,14.00,3.00,0.00,0.00,10.00,3.00,4.00,73.20,49.00,0.07,0.12,0.03,0.04,0.00,0.00,0.06,0.06,0.05,0.72,0.39
"Dunn, Lynden",211.00,2020,2.00,12.00,5.00,6.00,1.00,0.00,0.00,3.00,1.00,1.00,92.50,49.40,0.04,0.04,0.02,0.02,0.00,0.00,0.03,0.02,0.03,0.92,0.34
"Dunstan, Luke",212.00,2021,12.00,169.00,51.00,134.00,1.00,4.00,0.00,59.00,18.00,19.00,82.70,94.60,0.33,0.28,0.30,0.02,0.10,0.00,0.32,0.33,0.41,0.80,0.77
"Dunstan, Luke",212.00,2020,1.00,13.00,3.00,8.00,0.00,0.00,0.00,9.00,0.00,0.00,81.00,125.00,0.04,0.02,0.03,0.00,0.00,0.00,0.08,0.00,0.00,0.77,1.00
"Dunstan, Luke",212.00,2019,18.00,208.00,59.00,194.00,4.00,12.00,1.00,87.00,26.00,17.00,74.40,86.10,0.44,0.31,0.43,0.05,0.24,0.00,0.51,0.49,0.22,0.73,0.69
"Durdin, Corey",213.00,2021,2.00,4.00,2.00,4.00,1.00,0.00,0.00,4.00,1.00,0.00,77.50,24.50,0.01,0.01,0.01,0.02,0.00,0.00,0.02,0.02,0.00,0.74,0.19
"Durdin, Sam",214.00,2020,3.00,11.00,8.00,9.00,0.00,1.00,0.00,2.00,2.00,2.00,82.00,33.30,0.04,0.06,0.03,0.00,0.03,0.00,0.02,0.05,0.07,0.79,0.20
"Durdin, Sam",214.00,2019,10.00,55.00,30.00,33.00,0.00,0.00,0.00,17.00,4.00,8.00,85.40,36.90,0.12,0.16,0.07,0.00,0.00,0.00,0.10,0.08,0.10,0.86,0.29
"Durham, Sam",215.00,2021,7.00,47.00,31.00,52.00,1.00,2.00,0.00,9.00,4.00,1.00,77.40,54.70,0.09,0.17,0.12,0.02,0.05,0.00,0.05,0.07,0.02,0.74,0.44
"Duryea, Taylor",216.00,2021,25.00,281.00,132.00,156.00,1.00,0.00,0.00,48.00,22.00,15.00,80.20,69.00,0.55,0.73,0.35,0.02,0.00,0.00,0.26,0.41,0.33,0.78,0.56
"Duryea, Taylor",216.00,2020,3.00,35.00,13.00,12.00,0.00,0.00,0.00,9.00,2.00,0.00,79.30,85.80,0.12,0.10,0.04,0.00,0.00,0.00,0.08,0.05,0.00,0.75,0.66
"Duryea, Taylor",216.00,2019,14.00,193.00,82.00,72.00,2.00,1.00,0.00,28.00,11.00,10.00,75.50,76.80,0.41,0.44,0.16,0.03,0.02,0.00,0.17,0.21,0.13,0.74,0.61
"Duursma, Xavier",217.00,2021,11.00,111.00,52.00,96.00,3.00,3.00,0.00,29.00,13.00,9.00,80.20,73.10,0.21,0.29,0.22,0.05,0.07,0.00,0.16,0.24,0.20,0.78,0.59
"Duursma, Xavier",217.00,2020,15.00,114.00,52.00,83.00,7.00,3.00,0.00,36.00,16.00,7.00,78.60,70.70,0.38,0.42,0.31,0.14,0.08,0.00,0.31,0.37,0.24,0.74,0.53
"Duursma, Xavier",217.00,2019,20.00,204.00,114.00,188.00,11.00,13.00,0.00,41.00,24.00,12.00,83.20,78.10,0.43,0.61,0.41,0.14,0.26,0.00,0.24,0.45,0.15,0.83,0.62
"Eagles, Matt",218.00,2020,2.00,2.00,0.00,0.00,0.00,0.00,15.00,4.00,0.00,1.00,46.00,21.30,0.01,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,0.32,0.10
"Ebert, Brad",219.00,2020,14.00,131.00,52.00,76.00,11.00,14.00,0.00,55.00,16.00,9.00,81.90,88.40,0.44,0.42,0.28,0.22,0.39,0.00,0.47,0.37,0.31,0.79,0.68
"Ebert, Brad",219.00,2019,11.00,109.00,53.00,63.00,13.00,11.00,0.00,50.00,9.00,11.00,79.90,79.70,0.23,0.28,0.14,0.17,0.22,0.00,0.30,0.17,0.14,0.79,0.64
"Edwards, Harry",220.00,2021,10.00,75.00,53.00,28.00,0.00,0.00,0.00,20.00,6.00,6.00,85.80,50.80,0.14,0.29,0.06,0.00,0.00,0.00,0.11,0.11,0.13,0.84,0.41
"Edwards, Harry",220.00,2020,1.00,2.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,26.00,10.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00
"Edwards, Luke",221.00,2021,8.00,57.00,26.00,43.00,0.00,1.00,0.00,10.00,5.00,4.00,65.10,46.10,0.11,0.14,0.10,0.00,0.02,0.00,0.05,0.09,0.09,0.60,0.37
"Edwards, Shane",222.00,2021,16.00,149.00,47.00,145.00,8.00,3.00,0.00,36.00,6.00,13.00,78.70,65.00,0.29,0.26,0.33,0.13,0.07,0.00,0.19,0.11,0.28,0.76,0.52
"Edwards, Shane",222.00,2020,10.00,78.00,10.00,94.00,5.00,1.00,0.00,27.00,8.00,6.00,79.90,72.60,0.26,0.08,0.35,0.10,0.03,0.00,0.23,0.19,0.21,0.76,0.54
"Edwards, Shane",222.00,2019,24.00,239.00,79.00,287.00,7.00,2.00,0.00,75.00,22.00,29.00,81.60,75.30,0.51,0.42,0.63,0.09,0.04,0.00,0.44,0.42,0.37,0.81,0.60
"Eggmolesse-Smith, Derek",223.00,2021,1.00,6.00,1.00,3.00,0.00,0.00,0.00,2.00,1.00,2.00,68.00,30.00,0.01,0.01,0.01,0.00,0.00,0.00,0.01,0.02,0.04,0.63,0.23
"Eggmolesse-Smith, Derek",223.00,2020,6.00,53.00,15.00,24.00,0.00,0.00,0.00,13.00,3.00,8.00,70.50,59.00,0.18,0.12,0.09,0.00,0.00,0.00,0.11,0.07,0.28,0.64,0.43
"Eggmolesse-Smith, Derek",223.00,2019,2.00,19.00,4.00,16.00,0.00,0.00,0.00,4.00,2.00,1.00,75.00,58.00,0.04,0.02,0.04,0.00,0.00,0.00,0.02,0.04,0.01,0.74,0.46
"Elliott, Jamie",224.00,2021,13.00,127.00,61.00,73.00,25.00,8.00,0.00,32.00,10.00,15.00,79.30,73.90,0.25,0.34,0.16,0.40,0.20,0.00,0.17,0.19,0.33,0.77,0.60
"Elliott, Jamie",224.00,2020,18.00,141.00,51.00,86.00,10.00,10.00,0.00,57.00,7.00,12.00,75.40,70.60,0.47,0.41,0.32,0.20,0.28,0.00,0.49,0.16,0.41,0.70,0.53
"Elliott, Jamie",224.00,2019,16.00,144.00,89.00,47.00,26.00,18.00,0.00,37.00,13.00,4.00,77.60,69.80,0.30,0.47,0.10,0.34,0.36,0.00,0.22,0.25,0.05,0.77,0.56
"Ellis, Brandon",225.00,2021,18.00,273.00,130.00,150.00,5.00,2.00,0.00,47.00,11.00,17.00,82.40,93.80,0.53,0.72,0.34,0.08,0.05,0.00,0.25,0.20,0.37,0.80,0.76
"Ellis, Brandon",225.00,2020,16.00,194.00,68.00,99.00,5.00,3.00,0.00,42.00,13.00,13.00,86.40,90.50,0.65,0.54,0.37,0.10,0.08,0.00,0.36,0.30,0.45,0.84,0.70
"Ellis, Brandon",225.00,2019,23.00,269.00,116.00,216.00,9.00,3.00,0.00,57.00,11.00,11.00,89.00,80.40,0.57,0.62,0.48,0.12,0.06,0.00,0.34,0.21,0.14,0.90,0.64
"Ellis, Corey",226.00,2019,4.00,35.00,12.00,37.00,0.00,1.00,0.00,8.00,0.00,0.00,80.80,62.00,0.07,0.06,0.08,0.00,0.02,0.00,0.05,0.00,0.00,0.81,0.49
"Ellis-Yolmen, Cam",227.00,2020,9.00,50.00,18.00,48.00,3.00,2.00,0.00,21.00,5.00,6.00,66.20,54.30,0.17,0.14,0.18,0.06,0.06,0.00,0.18,0.12,0.21,0.58,0.39
"Ellis-Yolmen, Cam",227.00,2019,10.00,100.00,29.00,135.00,2.00,2.00,0.00,56.00,8.00,8.00,77.00,87.90,0.21,0.15,0.30,0.03,0.04,0.00,0.33,0.15,0.10,0.76,0.70
"English, Tim",228.00,2021,22.00,164.00,103.00,126.00,19.00,15.00,341.00,63.00,28.00,24.00,82.30,78.70,0.32,0.57,0.28,0.31,0.37,0.42,0.34,0.52,0.52,0.80,0.64
"English, Tim",228.00,2020,18.00,129.00,77.00,113.00,8.00,11.00,287.00,39.00,18.00,18.00,87.60,91.00,0.43,0.62,0.42,0.16,0.31,0.48,0.33,0.42,0.62,0.86,0.70
"English, Tim",228.00,2019,20.00,135.00,81.00,129.00,8.00,10.00,382.00,68.00,23.00,24.00,83.80,78.50,0.29,0.43,0.28,0.11,0.20,0.37,0.40,0.43,0.31,0.84,0.63
"Evans, Francis",229.00,2021,2.00,8.00,4.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,48.00,26.50,0.01,0.02,0.00,0.03,0.02,0.00,0.01,0.00,0.00,0.40,0.20
"Fantasia, Orazio",230.00,2021,15.00,126.00,48.00,52.00,28.00,23.00,0.00,30.00,10.00,6.00,79.40,61.90,0.24,0.27,0.12,0.45,0.56,0.00,0.16,0.19,0.13,0.77,0.50
"Fantasia, Orazio",230.00,2020,5.00,27.00,15.00,22.00,1.00,0.00,0.00,6.00,2.00,2.00,78.80,49.00,0.09,0.12,0.08,0.02,0.00,0.00,0.05,0.05,0.07,0.75,0.34
"Fantasia, Orazio",230.00,2019,15.00,101.00,46.00,72.00,20.00,12.00,0.00,32.00,13.00,10.00,80.70,55.20,0.21,0.24,0.16,0.26,0.24,0.00,0.19,0.25,0.13,0.80,0.44
"Farrar, Jy",231.00,2021,10.00,90.00,56.00,55.00,0.00,0.00,0.00,14.00,1.00,5.00,81.10,59.00,0.17,0.31,0.12,0.00,0.00,0.00,0.08,0.02,0.11,0.79,0.47
"Farrar, Jy",231.00,2020,1.00,3.00,2.00,3.00,1.00,0.00,0.00,1.00,0.00,0.00,60.00,38.80,0.01,0.02,0.01,0.02,0.00,0.00,0.01,0.00,0.00,0.50,0.25
"Farrell, Kane",232.00,2021,10.00,67.00,23.00,55.00,4.00,3.00,0.00,24.00,1.00,11.00,70.00,47.10,0.13,0.13,0.12,0.06,0.07,0.00,0.13,0.02,0.24,0.66,0.37
"Farrell, Kane",232.00,2020,11.00,56.00,21.00,46.00,6.00,9.00,0.00,30.00,2.00,2.00,80.20,55.00,0.19,0.17,0.17,0.12,0.25,0.00,0.26,0.05,0.07,0.76,0.39
"Farrell, Kane",232.00,2019,7.00,36.00,14.00,23.00,11.00,3.00,0.00,14.00,4.00,3.00,79.10,45.10,0.08,0.07,0.05,0.14,0.06,0.00,0.08,0.08,0.04,0.79,0.35
"Fasolo, Alex",233.00,2019,3.00,11.00,6.00,9.00,2.00,0.00,0.00,8.00,2.00,5.00,74.70,33.30,0.02,0.03,0.02,0.03,0.00,0.00,0.05,0.04,0.06,0.73,0.26
"Finlayson, Jeremy",234.00,2021,13.00,106.00,40.00,35.00,23.00,9.00,24.00,15.00,14.00,11.00,76.80,55.40,0.20,0.22,0.08,0.37,0.22,0.03,0.08,0.26,0.24,0.74,0.44
