Player,ID,Season,GM,KI,MK,HB,GL,BH,HO,TK,FF,FA,%P,FantasyAve,KI_norm,MK_norm,HB_norm,GL_norm,BH_norm,HO_norm,TK_norm,FF_norm,FA_norm,%P_norm,FantasyAve_norm
"Cripps, Jamie",156.00,2021,22.00,205.00,82.00,109.00,26.00,26.00,0.00,86.00,17.00,20.00,86.50,71.00,0.40,0.45,0.24,0.42,0.63,0.00,0.46,0.31,0.43,0.85,0.57
"Cripps, Jamie",156.00,2020,14.00,94.00,36.00,73.00,9.00,7.00,0.00,45.00,9.00,9.00,88.50,67.80,0.32,0.29,0.27,0.18,0.19,0.00,0.38,0.21,0.31,0.87,0.50
"Cripps, Jamie",156.00,2019,19.00,145.00,59.00,113.00,30.00,13.00,0.00,64.00,8.00,16.00,80.00,65.60,0.31,0.31,0.25,0.39,0.26,0.00,0.38,0.15,0.21,0.80,0.52
"Cripps, Patrick",157.00,2021,20.00,163.00,63.00,305.00,13.00,11.00,3.00,85.00,47.00,44.00,84.00,81.80,0.32,0.35,0.69,0.21,0.27,0.00,0.46,0.87,0.96,0.82,0.66
"Cripps, Patrick",157.00,2020,17.00,152.00,40.00,182.00,7.00,11.00,0.00,81.00,38.00,25.00,85.40,94.10,0.51,0.32,0.68,0.14,0.31,0.00,0.69,0.88,0.86,0.83,0.73
"Cripps, Patrick",157.00,2019,20.00,212.00,62.00,348.00,13.00,6.00,0.00,123.00,48.00,39.00,89.90,101.30,0.45,0.33,0.77,0.17,0.12,0.00,0.73,0.91,0.50,0.91,0.81
"Crisp, Jack",158.00,2021,22.00,341.00,148.00,253.00,2.00,5.00,0.00,80.00,16.00,29.00,88.50,101.80,0.66,0.82,0.57,0.03,0.12,0.00,0.43,0.30,0.63,0.87,0.83
"Crisp, Jack",158.00,2020,19.00,220.00,91.00,143.00,2.00,2.00,0.00,58.00,15.00,11.00,87.20,95.20,0.74,0.73,0.53,0.04,0.06,0.00,0.50,0.35,0.38,0.85,0.74
"Crisp, Jack",158.00,2019,24.00,345.00,148.00,269.00,2.00,5.00,0.00,83.00,20.00,14.00,89.40,97.70,0.73,0.79,0.59,0.03,0.10,0.00,0.49,0.38,0.18,0.90,0.78
"Crocker, Ben",159.00,2020,7.00,45.00,22.00,10.00,4.00,5.00,0.00,17.00,7.00,1.00,83.60,57.50,0.15,0.18,0.04,0.08,0.14,0.00,0.15,0.16,0.03,0.81,0.41
