Player,ID,Season,GM,KI,MK,HB,GL,BH,HO,TK,FF,FA,%P,FantasyAve
"Ballenden, Connor",36,2021,1.00,3.00,2.00,1.00,0.00,0.00,1.00,0.00,1.00,2.00,55.00,13.00
"Ballenden, Connor",36,2020,2.00,5.00,5.00,4.00,1.00,1.00,5.00,1.00,1.00,1.00,71.50,32.50
"Balta, Noah",37,2021,14.00,129.00,65.00,54.00,2.00,1.00,14.00,18.00,7.00,10.00,79.90,54.70
"Balta, Noah",37,2020,17.00,132.00,65.00,52.00,1.00,1.00,3.00,16.00,11.00,16.00,94.50,53.80
"Balta, Noah",37,2019,13.00,87.00,30.00,34.00,6.00,4.00,91.00,29.00,14.00,21.00,70.40,47.50
"Banfield, Bailey",38,2021,6.00,29.00,12.00,27.00,4.00,2.00,0.00,14.00,3.00,6.00,74.20,40.70
"Banfield, Bailey",38,2020,5.00,26.00,8.00,21.00,2.00,0.00,0.00,18.00,8.00,3.00,81.80,56.80
"Banfield, Bailey",38,2019,7.00,39.00,18.00,54.00,2.00,1.00,0.00,30.00,10.00,12.00,74.00,55.10
"Barrass, Tom",39,2021,16.00,168.00,117.00,53.00,0.00,0.00,1.00,10.00,14.00,6.00,87.10,62.40
"Barrass, Tom",39,2020,18.00,144.00,94.00,37.00,0.00,0.00,0.00,4.00,12.00,8.00,89.90,55.00
"Barrass, Tom",39,2019,14.00,131.00,86.00,30.00,0.00,0.00,13.00,11.00,14.00,10.00,83.40,53.70
"Bastinac, Ryan",40,2019,3.00,26.00,16.00,8.00,2.00,0.00,0.00,4.00,1.00,3.00,77.30,54.00
"Battle, Josh",41,2021,16.00,113.00,61.00,73.00,3.00,7.00,2.00,46.00,13.00,11.00,64.60,53.70
"Battle, Josh",41,2020,14.00,108.00,52.00,34.00,12.00,9.00,6.00,26.00,10.00,8.00,70.40,64.70
"Battle, Josh",41,2019,19.00,204.00,115.00,76.00,3.00,1.00,0.00,52.00,14.00,18.00,78.60,68.20
"Beams, Dayne",42,2019,9.00,124.00,38.00,102.00,5.00,4.00,0.00,19.00,13.00,4.00,78.90,89.00
"Bedford, Toby",43,2020,2.00,6.00,3.00,10.00,0.00,1.00,0.00,4.00,0.00,3.00,61.00,34.40
"Begley, Josh",44,2020,1.00,3.00,2.00,2.00,1.00,0.00,0.00,4.00,1.00,1.00,84.00,48.80
"Begley, Josh",44,2019,8.00,61.00,28.00,32.00,6.00,7.00,0.00,15.00,7.00,9.00,84.50,51.80
"Bell, James",45,2021,12.00,38.00,24.00,37.00,2.00,2.00,0.00,25.00,7.00,5.00,52.60,30.50
"Bell, James",45,2020,8.00,37.00,13.00,32.00,3.00,2.00,0.00,28.00,7.00,8.00,69.80,51.40
"Bell, James",45,2019,2.00,9.00,7.00,5.00,1.00,1.00,0.00,5.00,1.00,4.00,69.00,37.00
"Bellchambers, Tom",46,2020,7.00,30.00,10.00,11.00,1.00,0.00,139.00,10.00,9.00,7.00,81.30,56.30
"Bellchambers, Tom",46,2019,16.00,105.00,52.00,75.00,6.00,4.00,407.00,30.00,28.00,27.00,80.30,70.90
"Bennell, Harley",47,2020,5.00,26.00,7.00,28.00,3.00,2.00,0.00,5.00,1.00,2.00,68.40,47.50
"Bergman, Miles",48,2021,23.00,199.00,101.00,126.00,7.00,7.00,0.00,42.00,16.00,5.00,69.80,59.60
"Berry, Jarrod",49,2021,11.00,75.00,24.00,63.00,5.00,2.00,0.00,34.00,14.00,15.00,61.90,50.90
"Berry, Jarrod",49,2020,17.00,155.00,70.00,116.00,7.00,10.00,0.00,64.00,20.00,21.00,77.50,86.20
"Berry, Jarrod",49,2019,20.00,211.00,89.00,181.00,8.00,10.00,0.00,76.00,37.00,17.00,77.50,80.50
"Berry, Sam",50,2021,17.00,60.00,27.00,94.00,5.00,9.00,0.00,69.00,12.00,17.00,71.70,42.60
"Berry, Tom",51,2021,11.00,14.00,6.00,23.00,2.00,1.00,0.00,20.00,2.00,5.00,31.20,16.90
"Berry, Tom",51,2020,6.00,16.00,10.00,25.00,0.00,2.00,0.00,12.00,2.00,4.00,71.50,35.00
"Betts, Eddie",52,2021,19.00,121.00,42.00,59.00,27.00,16.00,0.00,31.00,8.00,14.00,79.20,46.10
